"","R","w.mu","w.sigma","w.k","mu1","mu2","r.imp.cases","p.obs.cases","p.seq.data","type","n","prop.ances.ok","msup.ances","msup.kappa","merr.date","prop.imp.ok","mu.ok","mu1.ok","mu2.ok","merr.pi","time"
"0dd66efb561",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",123,0.614754098360656,0.310092213114754,0.456656504065041,0.789634146341463,NA,0,0,1,0.457163295278774,2324
"0f74661fdb",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",87,0.411764705882353,0.251162790697674,0.520545977011494,0.784698275862069,NA,1,1,1,0.417592656182727,797
"0f74661fdb1",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",87,0.435294117647059,0.272311046511628,0.530459770114942,0.78433908045977,NA,1,1,1,0.408166792165734,811
"1119862289",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",121,0.583333333333333,0.367291666666667,0.531714876033058,0.775981404958678,NA,1,1,1,0.384478807533177,1523
"11198622891",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",121,0.466666666666667,0.194895833333333,0.458729338842975,0.809762396694215,NA,0,0,0,0.467336473841749,1593
"1352b619b7",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",129,0.546875,0.34091796875,0.563517441860465,0.773062015503876,NA,1,1,1,0.355427645958183,1304
"1352b619b71",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",129,0.546875,0.251416015625,0.538565891472868,0.781637596899225,NA,0,0,0,0.394408389708521,1769
"13759b4fd5",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",127,0.669354838709677,0.421279761904762,0.610826771653543,0.846456692913386,NA,1,1,1,0.31790875547679,1724
"13759b4fd51",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",127,0.475806451612903,0.195684523809524,0.506397637795276,0.852657480314961,NA,0,0,1,0.443863329724345,2463
"1a2461a02b",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",128,0.622047244094488,0.42878937007874,0.591064453125,0.73037109375,NA,1,1,1,0.326957470481339,2553
"1a2461a02b1",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",128,0.622047244094488,0.327116141732283,0.54638671875,0.752978515625,NA,0,0,0,0.37923701994734,1667
"0598e6614a",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2-fixedMu",141,0.729508196721312,0.438095238095238,0.496099290780142,0.792774822695035,0.5,1,1,1,0.441569106147525,2863
"0598e6614a1",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2",141,0.428571428571429,0.223214285714286,0.328280141843972,0.823714539007092,0.0714285714285714,0,0,0,0.608774531724134,1556
"0988fd389c",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2-fixedMu",150,0.699248120300752,0.524540441176471,0.587958333333333,0.801916666666667,0.846153846153846,1,1,1,0.337454514713981,3378
"0988fd389c1",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2",150,0.00740740740740741,0.00818014705882353,0.626416666666667,0.902916666666667,0,0,0,0,0.698076188507757,2733
"12eed56a44",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2-fixedMu",111,0.635514018691589,0.390478971962617,0.543412162162162,0.785585585585586,1,1,1,1,0.368931773920324,1896
"12eed56a441",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2",111,0.566037735849057,0.355432242990654,0.538288288288288,0.793468468468468,1,1,1,1,0.37742903012915,1753
"1324e0a82b",1.5,2,0.7,5,8e-05,2e-05,0.2,1,1,"imp-0.2-fixedMu",127,0.701754385964912,0.481359649122807,0.615748031496063,0.799950787401575,1,1,1,1,0.313026893856215,1601
