step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
23000	-109.054192239320798	-115.909680190280170	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508910241456547	-1	3	2	4	6	7	5	6	7	8	9	8	11	12	13	15	14	17	21	0	1	1	3	3	2	2	2	8	9	4	7	11	9	10	10	0	17	17	1	2	1	1	1	2	1	2	1	1	2	2	1	2	2	3	1	1	4
23500	-113.406014268189423	-120.261502219148795	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497551581644244	-1	3	3	5	6	7	5	8	7	7	9	8	13	13	14	15	15	18	20	0	1	1	3	3	2	3	9	5	1	4	7	10	9	11	15	0	17	18	1	2	2	1	1	2	1	1	1	2	2	2	3	2	3	1	1	2	2
24000	-114.586943489737479	-121.442431440696851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.937736968545197	0	3	2	5	7	8	5	7	5	8	10	9	12	12	14	16	16	17	20	0	1	1	3	3	5	2	9	3	9	10	10	11	10	14	15	0	17	17	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2
24500	-118.368417676577792	-125.223905627537164	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542887001685417	-1	1	3	5	6	6	6	8	7	8	9	9	9	12	14	15	15	18	20	0	1	2	3	2	3	2	3	3	7	4	7	4	8	11	15	0	17	18	1	1	2	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	1
25000	-121.914886415188079	-128.770374366147450	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.792193506029311	-1	3	0	4	6	8	6	8	7	5	10	8	13	11	14	13	15	18	20	0	3	1	2	2	5	4	9	5	2	10	7	11	9	1	11	0	17	18	1	1	1	1	1	1	1	1	1	1	3	1	2	2	8	1	1	2	1
25500	-107.082445872167980	-113.937933823127352	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716766402770272	0	2	3	3	5	8	6	7	7	7	9	8	12	12	14	16	15	18	20	0	1	1	1	3	7	2	5	5	5	4	7	11	9	5	15	0	17	18	1	2	1	2	1	1	1	1	1	1	3	1	1	2	5	1	1	2	1
26000	-114.944199828818782	-121.799687779778154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688842519847695	0	3	1	5	7	7	4	8	7	6	10	8	11	11	13	16	15	18	20	0	1	1	3	2	10	3	9	10	2	2	10	11	9	5	15	0	17	18	1	1	1	3	2	1	1	1	1	1	3	1	1	2	2	1	1	2	1
26500	-114.585031642966086	-121.440519593925458	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721387398559524	-1	3	2	4	5	7	6	6	8	8	10	7	12	11	13	15	16	17	20	0	3	1	3	3	7	3	2	8	5	10	7	11	8	10	10	0	17	18	1	1	1	2	1	1	2	1	1	1	1	1	2	3	3	3	1	1	2
27000	-119.510523198296397	-126.366011149255769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585780458153176	-1	2	2	4	5	7	6	7	8	9	6	5	11	12	14	14	14	17	20	0	1	1	2	3	5	5	3	8	1	3	3	10	9	10	10	0	17	18	1	1	2	1	1	2	1	2	1	5	3	1	1	2	2	2	1	1	1
27500	-108.586945264098162	-115.442433215057534	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670998187203454	-1	3	2	5	6	7	5	7	8	9	8	6	12	12	14	16	14	18	20	0	3	1	2	3	5	2	2	8	8	4	7	11	8	10	15	0	17	17	1	1	1	1	3	1	1	2	1	1	2	1	2	3	2	1	1	3	3
28000	-125.767817148117274	-132.623305099076646	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410141000591573	-1	3	2	5	5	7	6	7	8	7	9	8	12	11	14	14	14	17	21	0	1	1	1	3	5	3	5	4	3	10	5	2	9	10	10	0	17	17	1	1	1	4	3	2	2	1	1	3	1	2	4	2	3	3	1	2	3
28500	-107.053926542099546	-113.909414493058918	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.852877883051330	0	3	2	5	5	7	5	7	8	8	10	8	12	12	14	15	15	17	20	0	3	1	3	2	7	3	5	8	5	10	7	11	9	11	10	0	17	18	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2
29000	-109.922170613196727	-116.777658564156098	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715347543438484	0	2	2	4	5	7	4	6	8	8	8	8	12	13	14	15	14	18	19	0	1	1	2	3	5	3	5	5	8	2	7	11	9	10	11	0	17	18	1	1	1	1	2	1	1	1	2	1	2	2	2	2	3	4	1	2	1
29500	-108.964443383550275	-115.819931334509647	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692735763629491	-1	2	3	5	5	6	5	6	8	8	9	8	12	11	14	15	15	18	19	0	1	2	3	3	5	2	3	8	5	5	7	11	9	10	10	0	17	18	1	2	1	1	1	1	1	1	1	1	3	1	2	2	2	3	1	2	1
30000	-119.239619184847967	-126.095107135807339	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706783537938563	0	1	3	4	5	7	5	7	6	8	9	7	12	12	14	16	14	18	21	0	1	2	2	1	7	3	9	5	9	4	5	11	9	3	5	0	17	17	1	1	1	2	2	1	1	1	1	1	2	1	2	2	5	4	1	2	3
30500	-114.283356529499144	-121.138844480458516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508195922671170	0	3	2	4	6	7	3	6	8	7	9	8	12	12	14	16	16	18	20	0	3	1	3	4	5	3	2	8	2	4	7	11	9	3	15	0	17	18	1	1	1	1	1	1	1	1	2	1	2	2	2	2	7	1	1	2	1
31000	-120.147167930324159	-127.002655881283530	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.701801452451249	-1	2	3	4	5	7	5	6	8	6	6	8	12	10	14	16	15	18	20	0	1	2	3	3	8	2	2	8	2	2	10	11	10	13	15	0	17	18	1	1	1	1	1	1	1	4	1	2	2	1	3	2	1	1	1	2	1
31500	-118.507438377329947	-125.362926328289319	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622872878019460	-1	2	2	3	6	7	5	7	6	8	8	8	11	11	14	13	13	17	20	0	1	1	3	3	2	3	9	3	5	5	5	5	9	5	10	0	17	18	1	1	2	1	2	2	1	1	2	1	2	1	2	3	3	3	1	2	2
32000	-106.025193974660496	-112.880681925619868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536126379994594	0	3	2	4	5	7	4	5	7	8	8	8	11	11	14	16	15	17	20	0	1	1	2	2	7	3	3	8	5	4	7	11	9	10	15	0	17	18	1	2	1	1	1	1	1	1	1	1	2	2	2	2	3	1	1	1	2
32500	-129.171269609068730	-136.026757560028102	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688711372416268	0	1	3	4	5	7	4	6	7	8	7	9	12	13	11	15	15	18	19	0	1	2	1	3	5	2	7	3	3	2	3	11	9	10	15	0	17	18	1	1	1	3	1	1	3	1	2	2	3	3	3	3	1	2	1	2	1
33000	-113.772355059938604	-120.627843010897976	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671525082722245	-1	1	3	4	6	8	4	7	8	9	9	6	10	12	14	14	13	18	20	0	1	2	1	3	5	3	5	8	5	4	7	4	9	10	10	0	17	18	1	1	1	3	2	2	1	1	1	2	2	1	3	2	2	3	1	2	1
33500	-113.820363531304722	-120.675851482264093	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641285981939669	0	3	2	4	6	7	4	7	7	9	10	9	13	12	13	14	13	18	20	0	1	1	3	3	2	3	3	2	5	4	7	11	8	10	10	0	17	18	1	2	1	1	1	2	1	3	2	1	2	2	2	3	2	2	1	2	1
