step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
29000	-41.816055324856826	-40.253608225592096	-1.562447099264733	0.000089643076325	0.000023094188753	0.257623786460255	0.960508338711348	1	2	5	3	4	5	5	6	6	8	8	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
29500	-47.670156252552680	-46.033590388419370	-1.636565864133312	0.000079853057876	0.000017983009527	0.225201263480996	0.944546598073128	1	2	6	2	3	4	4	6	5	7	8	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	2	1	1	1
30000	-50.601036383015824	-48.943909212076250	-1.657127170939575	0.000071477891322	0.000015559007098	0.217675798915130	0.899185863779874	1	2	6	3	4	5	4	6	6	4	8	0	1	10	1	2	10	4	5	10	4	8	1	1	1	2	1	1	1	1	1	1	1
30500	-54.071549717220506	-52.698965521318080	-1.372584195902428	0.000094782024193	0.000044586948691	0.470415662359099	0.847254727712485	2	3	5	3	5	5	5	6	5	4	8	0	1	4	1	1	10	10	1	10	4	8	1	1	1	1	1	1	1	2	1	1	1
31000	-39.447564147652017	-37.895062023620888	-1.552502124031129	0.000101594115433	0.000026697096676	0.262781919626339	0.988313684682589	1	3	5	3	4	5	4	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
31500	-54.106921317179669	-51.866863735750719	-2.240057581428949	0.000057790059683	0.000006276009215	0.108600151120292	0.738703339396537	1	2	4	3	4	4	4	6	5	7	9	0	1	4	2	1	4	4	5	6	6	5	1	1	1	1	2	1	1	1	1	1	3
32000	-54.390490397922093	-51.490308388098462	-2.900182009823631	0.000137758437596	0.000008755864191	0.063559549194848	0.891124634210078	0	2	4	2	4	5	5	6	6	6	8	0	1	4	1	1	3	5	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
32500	-51.312552720764337	-49.898400544987567	-1.414152175776770	0.000065554116936	0.000024833124039	0.378818679889782	0.784842737202775	-1	1	5	3	2	5	4	5	6	7	8	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	1	1	1	2	1	1	2
33000	-40.713148483958989	-39.329497864371504	-1.383650619587486	0.000082222469985	0.000035869709396	0.436251907809271	0.984873724291069	1	3	5	3	5	4	5	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
33500	-42.353456485220022	-40.954072501011893	-1.399383984208129	0.000072849926191	0.000058732671466	0.806214563788864	0.948257105377463	0	2	5	3	4	4	5	6	5	7	8	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
34000	-48.873694146917501	-47.500472546989499	-1.373221599928003	0.000069807980814	0.000048424955932	0.693687961855807	0.791040482260076	1	2	5	3	4	5	5	5	6	7	6	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	2	1	1	1	1
34500	-41.164248603044818	-39.768631805168134	-1.395616797876686	0.000086080623131	0.000035271812217	0.409753216628734	0.995525271514871	1	3	6	3	4	4	4	6	6	6	8	0	1	6	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
35000	-49.028449819849143	-47.635381551927033	-1.393068267922109	0.000082252032780	0.000034120401413	0.414827454831360	0.735394039974299	1	2	5	2	3	3	5	5	5	7	7	0	1	4	1	1	4	6	5	6	9	8	1	1	2	1	1	1	1	1	1	1	1
35500	-41.362650055636898	-39.787285693822405	-1.575364361814496	0.000081836789018	0.000020561885507	0.251254793279705	0.902638349704039	1	3	5	3	5	4	5	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
36000	-44.312136417148835	-42.857182865516414	-1.454953551632420	0.000098935022345	0.000032773692783	0.331264824185879	0.868214343839820	1	3	5	3	4	4	5	5	5	6	9	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
36500	-44.609263173831174	-42.968837913868697	-1.640425259962475	0.000093986414009	0.000021029278754	0.223748070137161	0.772349604149063	1	3	5	3	4	5	5	6	6	7	9	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
37000	-43.690215719683245	-42.324712801560239	-1.365502918123008	0.000061759304941	0.000039708291794	0.642952375059215	0.956398146909222	1	2	5	3	4	4	5	6	6	7	8	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	1
37500	-42.634602666568647	-41.199466048636985	-1.435136617931660	0.000068822849711	0.000024219612188	0.351912370524670	0.807278784806362	1	2	5	3	4	5	5	5	6	7	8	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
38000	-52.419527454332858	-50.950634420245663	-1.468893034087193	0.000121072567819	0.000038581723999	0.318666108220117	0.876949114675982	1	3	5	3	3	4	5	5	5	5	7	0	1	4	1	1	4	4	5	6	6	5	1	1	1	1	1	1	1	2	1	1	2
38500	-49.789875320635936	-48.412764011447791	-1.377111309188147	0.000096591661598	0.000068961054585	0.713944179488415	0.925380905380284	1	2	5	3	4	4	4	5	5	7	7	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	2
39000	-41.474799877111664	-40.105121016575900	-1.369678860535767	0.000075024415180	0.000036199387780	0.482501432275860	0.969000388419408	2	3	5	3	4	5	5	6	6	7	8	0	1	4	1	1	4	4	5	6	3	8	1	1	1	1	1	1	1	1	1	1	1
39500	-49.844804649084118	-48.436359627215069	-1.408445021869052	0.000057596219510	0.000022314201344	0.387424756935487	0.689641162682816	1	2	4	3	3	4	5	6	6	7	7	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	2	1	2	1
40000	-52.734087676750697	-51.318702915153068	-1.415384761597629	0.000087031902910	0.000074938179230	0.861042637520704	0.960788790711418	1	2	3	4	3	5	5	4	6	7	8	0	1	2	3	1	4	3	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
40500	-46.621009328812733	-45.257753778635312	-1.363255550177422	0.000069237452258	0.000043037284284	0.621589658203133	0.979499805159379	0	2	2	4	5	4	4	6	6	7	8	0	1	1	3	2	3	3	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
41000	-53.517531016819795	-51.859998204616318	-1.657532812203478	0.000119307617104	0.000025953286161	0.217532516291597	0.846130498442841	0	3	6	3	4	4	5	5	6	8	8	0	1	6	1	2	4	2	2	6	6	8	1	1	2	1	1	1	1	1	1	2	1
41500	-46.684055113580449	-45.280625153301990	-1.403429960278461	0.000061426951423	0.000024300448237	0.395599125041979	0.920996206063636	1	3	4	3	4	4	4	5	5	6	9	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
42000	-49.227899332340002	-46.994816623117842	-2.233082709222157	0.000116278316686	0.000012711307977	0.109317956602859	0.770895803418757	1	3	4	3	5	4	5	6	6	6	9	0	1	4	1	2	4	3	5	6	6	8	1	1	1	1	1	1	1	1	1	1	2
42500	-47.115712100726945	-45.741177298085852	-1.374534802641091	0.000057813628217	0.000026783665040	0.463275976035053	0.787551114510553	1	3	5	2	4	4	4	5	5	7	8	0	1	6	1	1	4	4	5	6	6	8	1	1	1	1	2	1	1	1	1	1	1
43000	-39.962917135481774	-38.241746150839781	-1.721170984641991	0.000107136163824	0.000021124664325	0.197175851468118	0.997283195081842	1	3	5	3	4	5	4	6	6	7	8	0	1	4	1	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
43500	-44.095605174439051	-42.699552506225452	-1.396052668213598	0.000075516959223	0.000030879663235	0.408910310380066	0.969631844053741	1	2	5	3	3	4	5	6	5	6	9	0	1	4	2	1	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
44000	-50.024670864794338	-48.661587165436927	-1.363083699357412	0.000070469086740	0.000036921406072	0.523937626837733	0.799245459926503	1	2	4	3	4	4	4	6	6	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	2	1	1	1	1	1	2	1
