step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
34000	-91.854479699823315	-98.709967650782687	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692446048797244	3	5	5	4	7	6	6	9	8	11	12	13	14	17	0	1	1	1	2	2	1	2	5	2	5	11	12	12	1	1	2	1	1	1	2	2	1	3	2	1	1	3
34500	-79.310780283942591	-86.166268234901963	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731402346545355	3	6	4	5	7	6	5	8	8	10	10	12	15	17	0	1	1	1	4	1	1	2	5	1	5	5	12	13	1	1	1	1	1	2	1	1	1	2	1	2	1	1
35000	-80.941897355013808	-87.797385305973179	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.836215325048546	3	6	5	4	7	7	5	8	9	11	11	12	14	18	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	2	2	1	1	1	3	2	2	1	2
35500	-79.508409647065534	-86.363897598024906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760046828915832	3	5	5	5	6	6	5	9	8	9	10	12	14	17	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	2	1	1	1	2	1	2	1	1	2	2	1	1
36000	-86.743141587605592	-93.598629538564964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654944964754938	3	4	4	4	7	5	6	8	9	10	12	11	14	16	0	1	1	1	4	2	2	5	5	2	5	4	12	13	1	1	1	1	2	1	1	1	1	3	2	3	1	1
36500	-82.561757798505852	-89.417245749465224	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682454885683490	3	5	5	5	7	6	5	8	9	10	9	11	14	16	0	1	1	1	4	1	1	1	5	2	5	11	12	13	1	1	1	1	1	2	1	2	1	2	1	2	2	1
37000	-79.640697073746836	-86.496185024706207	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760398721257419	3	4	4	4	7	6	6	8	8	10	11	12	14	17	0	1	1	1	4	2	2	2	5	5	5	5	12	12	1	1	1	1	2	1	1	2	1	2	2	2	1	2
37500	-78.718903325325186	-85.574391276284558	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649461979499683	3	6	5	5	7	6	5	8	8	9	11	11	15	17	0	1	1	1	1	1	1	2	2	5	5	5	12	13	1	2	1	1	3	1	1	1	1	1	2	2	2	1
38000	-80.325294090552362	-87.180782041511733	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667604866830356	2	5	4	5	6	7	5	9	8	9	11	12	14	18	0	1	1	1	4	2	1	2	5	2	5	5	12	13	1	2	1	2	1	1	1	1	1	2	3	2	1	2
38500	-81.677814895703435	-88.533302846662806	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683147404935939	2	5	5	4	6	6	5	8	8	10	11	12	15	17	0	1	1	1	2	2	1	1	5	2	5	11	12	13	1	2	1	1	1	1	2	4	1	2	3	1	2	1
