step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
22000	-181.765100042932090	-180.059120412069319	-1.705979630862765	0.000191408365606	0.000038604127285	0.201684639866284	0.550031762696384	2	7	10	12	12	14	17	21	19	22	20	20	22	23	23	24	24	27	25	26	31	33	0	0	1	3	0	4	3	4	7	6	7	5	5	10	13	11	10	7	17	7	14	11	1	1	4	1	1	1	4	3	1	4	2	4	5	1	1	2	1	6	1	3	3	7
22500	-183.911975992202059	-182.361707595530874	-1.550268396671185	0.000121941278729	0.000032189223856	0.263973153238049	0.488688116927825	2	9	11	14	12	14	16	21	19	20	20	22	19	24	22	23	24	26	27	27	31	33	0	0	1	3	0	3	3	4	7	6	7	2	2	11	13	9	10	4	17	7	20	20	1	1	5	1	1	2	2	3	1	4	1	6	4	2	1	2	2	4	1	6	3	3
23000	-177.158879775543824	-175.077064529439781	-2.081815246104033	0.000141544252505	0.000017976918500	0.127005640861467	0.390793794501510	2	8	11	13	12	15	17	22	19	21	18	22	22	21	24	24	23	26	27	27	31	32	0	0	1	3	0	4	3	10	7	6	3	5	5	7	12	9	10	10	17	14	14	20	1	1	5	1	1	1	3	1	1	3	4	5	6	2	1	1	1	2	2	3	6	3
23500	-198.413003811458424	-196.828129538679917	-1.584874272778515	0.000237264632762	0.000058553291235	0.246784742225895	0.425252755321001	3	8	11	13	11	15	17	22	20	19	19	19	21	21	23	23	24	25	26	27	32	33	0	0	1	1	0	4	4	6	3	7	7	5	5	11	12	10	10	17	10	9	14	16	1	1	4	4	1	1	2	4	3	2	1	3	6	1	3	2	3	1	3	4	5	4
24000	-177.781270349090477	-176.280212650012231	-1.501057699078258	0.000144638327440	0.000042511122835	0.293913263430339	0.249448105060470	1	8	10	13	12	12	16	21	19	19	21	20	21	22	23	23	23	23	26	27	31	33	0	0	1	6	0	3	3	10	3	6	7	5	5	11	12	11	8	6	17	7	7	20	1	1	4	1	1	1	3	1	7	4	3	3	4	1	2	1	1	5	1	6	8	4
24500	-183.583004970928329	-181.825720332509462	-1.757284638418863	0.000154371052256	0.000028898621457	0.187202335117794	0.291963916069008	2	9	9	14	11	13	16	22	20	19	19	21	20	23	23	24	24	26	26	28	30	31	0	0	1	6	0	3	3	4	7	4	3	5	5	9	13	7	8	6	8	7	7	20	1	1	3	1	1	2	4	4	2	3	5	5	5	1	1	4	1	7	2	5	6	2
25000	-181.949856347354370	-180.232465142086056	-1.717391205268322	0.000109053745513	0.000021623090130	0.198279206536184	0.264060401820287	3	8	8	12	11	15	15	22	20	21	20	23	21	24	23	23	24	27	25	26	30	34	0	0	1	3	0	4	3	6	7	6	7	2	5	9	13	11	8	10	17	14	11	14	1	1	3	2	1	2	3	4	3	3	4	7	6	4	1	1	1	3	1	1	4	5
25500	-182.953260316244297	-181.041853685626563	-1.911406630617735	0.000131965435507	0.000020253839780	0.153478368802307	0.318594155335485	1	8	9	12	12	14	16	22	20	21	20	22	21	24	22	23	24	25	25	26	30	33	0	0	1	3	0	3	3	10	3	3	7	5	2	11	13	9	8	6	17	10	14	14	1	1	4	2	1	3	3	1	4	8	2	5	6	2	1	2	1	6	1	2	3	5
26000	-170.337909180617231	-168.466154476547530	-1.871754704069703	0.000156357192597	0.000025180341046	0.161043701463716	0.377057748300917	3	9	10	12	11	15	15	22	20	21	19	22	21	23	23	23	25	25	27	26	32	33	0	0	1	3	0	4	3	10	7	6	7	5	5	11	13	9	8	6	17	11	14	14	1	1	3	1	1	2	3	1	3	3	2	8	4	2	1	2	2	6	1	3	4	4
26500	-185.474167820466192	-183.755076245294021	-1.719091575172183	0.000115805092804	0.000022904089851	0.197781369509368	0.246570520169578	3	7	10	14	10	15	16	21	18	21	20	23	21	23	23	23	24	26	27	26	31	34	0	0	1	3	0	4	3	4	3	6	7	5	5	7	13	4	8	6	8	7	14	14	1	1	5	3	1	1	2	3	4	3	3	8	6	3	1	3	2	5	3	5	4	6
