step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
39000	-99.152474535344894	-106.007962486304265	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.854687445390890	-3	6	12	16	19	27	21	24	23	26	32	37	48	0	1	2	2	4	3	5	2	5	7	6	11	0	1	1	1	2	1	2	1	2	1	2	1	1	1
39500	-89.305431232032248	-96.160919182991620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763199269525665	-2	11	16	13	26	25	22	23	18	30	34	39	54	0	1	2	2	4	3	9	2	4	7	6	11	0	1	2	1	1	2	1	1	2	1	1	1	1	1
40000	-91.385426860930409	-98.240914811889780	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.777632770489677	-2	6	13	8	18	26	21	21	26	28	27	38	51	0	1	2	2	4	8	5	3	5	7	8	11	0	1	1	2	1	2	1	1	1	1	1	1	2	1
40500	-97.983126404704365	-104.838614355663736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.773203395087500	0	9	12	13	20	17	23	20	26	26	30	35	55	0	1	2	2	4	3	5	2	5	7	6	3	0	1	1	1	1	1	1	1	2	2	1	3	2	1
41000	-92.199060454389894	-99.054548405349266	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.875024459657709	0	11	14	13	19	21	21	25	22	26	27	36	56	0	1	2	2	4	3	5	3	5	7	3	11	0	1	2	1	1	1	2	1	1	1	1	2	2	1
41500	-110.502155610288483	-117.357643561247855	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608695120184208	-8	-4	8	13	14	24	24	28	24	29	34	38	49	0	1	2	3	2	3	5	6	4	7	8	6	0	1	1	2	1	3	2	1	1	3	1	2	3	1
42000	-95.680894800902422	-102.536382751861794	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647120361513294	-4	10	13	14	26	25	20	21	25	30	29	33	55	0	1	2	2	4	3	4	3	4	7	8	8	0	1	1	1	1	2	2	1	1	2	1	2	1	1
42500	-109.317729458918421	-116.173217409877793	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534432152219171	-4	4	13	9	20	22	24	27	22	31	26	39	52	0	1	2	2	4	1	9	3	4	7	6	6	0	1	2	1	1	2	4	1	3	1	1	2	2	1
43000	-96.039630419015623	-102.895118369974995	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.709485499018197	-8	4	11	11	20	23	20	27	27	27	29	32	50	0	1	2	2	4	3	4	6	5	7	8	11	0	1	3	1	1	2	2	2	1	1	1	1	1	1
43500	-89.531913848764091	-96.387401799723463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.844969581577230	-1	9	13	11	19	22	23	25	23	25	35	36	49	0	1	2	2	4	3	5	6	5	7	8	8	0	1	1	1	1	1	2	1	1	1	1	2	1	1
